ax,ay,az,g1,g2,g3
-367,493,4104,2,-41,-39
-368,481,4109,1,-40,-39
-369,481,4109,1,-42,-39
-368,489,4112,0,-41,-39
-368,480,4109,1,-39,-40
-372,477,4108,-1,-41,-40
-373,477,4110,1,-39,-40
-369,476,4106,0,-39,-38
-371,479,4109,1,-40,-38
-367,482,4110,2,-42,-38
-370,473,4109,1,-40,-39
-372,473,4112,1,-39,-39
-370,477,4109,1,-41,-39
-360,477,4105,1,-40,-36
-359,477,4104,-1,-40,-38
-358,478,4105,1,-39,-38
-363,479,4109,0,-39,-38
-361,478,4106,0,-41,-37
-360,477,4105,1,-40,-36
-362,487,4111,0,-41,-38
-364,486,4110,-1,-40,-38
-367,484,4113,0,-39,-36
-366,486,4115,-1,-41,-37
-361,486,4112,0,-40,-37
-361,486,4113,0,-41,-38
-372,483,4107,-1,-42,-37
-372,484,4109,0,-43,-35
-373,484,4113,-2,-42,-37
-367,493,4105,0,-43,-35
-366,492,4105,0,-43,-37
-363,492,4104,-2,-42,-36
-367,492,4109,1,-40,-36
-369,491,4105,-2,-40,-38
-364,497,4104,0,-40,-36
-371,486,4108,2,-42,-38
-372,485,4108,0,-40,-39
-378,480,4112,-2,-40,-38
-372,485,4113,1,-40,-36
-371,487,4109,1,-42,-38
-371,483,4107,1,-42,-38
-374,480,4112,2,-41,-40
-372,485,4113,1,-40,-35
-369,483,4112,1,-42,-37
-376,490,4109,1,-39,-37
-372,489,4109,1,-43,-40
-369,492,4104,1,-43,-39
-368,493,4109,1,-39,-40
-368,492,4107,1,-42,-39
-367,488,4109,5,-39,-36
-372,485,4117,1,-42,-39
-371,484,4117,1,-40,-39
-374,487,4118,2,-40,-40
-368,481,4104,0,-39,-36
-368,480,4106,0,-42,-38
-371,481,4110,0,-42,-38
-370,481,4107,0,-42,-39
-374,477,4108,0,-41,-39
-368,478,4106,0,-40,-39
-367,477,4104,0,-40,-39
-371,476,4103,0,-42,-39
-368,476,4105,1,-40,-36
-367,485,4117,0,-39,-36
-368,480,4112,-2,-42,-38
-364,481,4112,0,-40,-36
-361,486,4112,0,-44,-36
-363,483,4111,0,-44,-38
-364,482,4112,0,-44,-38
-360,488,4112,1,-39,-35
-362,488,4110,1,-42,-37
-361,484,4112,1,-43,-36
-370,487,4113,-2,-42,-37
-368,489,4117,1,-40,-36
-367,489,4113,-1,-41,-36
-372,485,4109,1,-43,-39
-375,481,4111,0,-41,-38
-377,480,4111,0,-43,-37
-378,484,4114,0,-42,-38
-376,484,4113,1,-43,-39
-372,485,4109,1,-43,-39
-367,480,4108,1,-40,-36
-370,481,4110,0,-40,-38
-367,484,4107,0,-41,-37
-367,484,4114,0,-41,-38
-366,482,4112,1,-40,-39
-367,480,4108,1,-40,-36
-364,485,4109,4,-39,-35
-366,481,4109,2,-41,-37
-368,481,4112,4,-39,-36
-366,480,4111,2,-41,-37
-367,480,4113,1,-41,-38
-367,480,4112,0,-40,-35
-367,481,4109,5,-39,-35
-369,481,4111,1,-41,-37
-366,484,4111,2,-41,-37
-359,484,4108,1,-40,-35
-363,482,4109,1,-40,-37
-367,484,4112,0,-39,-36
-366,479,4107,0,-42,-38
-369,477,4106,1,-40,-37
-368,481,4107,1,-38,-36
-364,480,4110,-1,-40,-38
-364,480,4112,0,-40,-35
-368,480,4111,0,-40,-37
-365,484,4111,1,-42,-38
-368,483,4114,0,-41,-38
-366,481,4113,1,-39,-36
-374,482,4110,2,-42,-36
-371,481,4108,0,-41,-37
-370,480,4108,2,-40,-36
-369,490,4109,0,-41,-37
-368,489,4108,1,-39,-36
-369,486,4108,2,-40,-36
-375,483,4112,0,-41,-39
-376,485,4113,4,-40,-35
-375,483,4113,2,-40,-37
-375,484,4116,1,-39,-35
-375,481,4113,0,-40,-38
-372,481,4113,1,-40,-36
-376,486,4115,3,-41,-38
-373,486,4113,3,-40,-37
-375,484,4116,1,-39,-35
-372,481,4105,0,-41,-39
-374,482,4110,0,-42,-37
-371,484,4112,2,-40,-36
-364,485,4109,1,-40,-40
-368,481,4109,0,-40,-40
-370,482,4110,1,-40,-38
-373,484,4112,0,-40,-38
-371,483,4111,0,-41,-38
-370,482,4110,2,-40,-38
-371,485,4112,4,-39,-36
-372,481,4111,0,-42,-38
-369,485,4109,-1,-40,-37
